cytoband	19p13.3	22q13.32	11p15.5	6q27	5q11.2	1p36.11	7p22.3	13q14.2	4q34.3	15q15.1	10q23.31	17q11.2	18q23	5q13.2	2q22.1	16q23.1	2q37.3	19q13.43	9q34.3	Xp21.1	4q22.1	8p21.2	14q23.3	16p13.3	3p26.2	12q23.1	8p23.3	12q24.33	21q22.3	11q25	19q13.32	10p15.3	3p21.1	2p25.3	10q26.3	1p36.32	5q14.3	1q32.3	9p24.3	6q21	6p25.3	1p31.1	3q13.31	
																																										MIR186		
																																										MIR197		
																																										LHX8		
																																										C1orf180		
																																										FLJ31662		
																																										RP5-1074L1.1		
																																										LOC440602		
																																										PGCP1		
																																										GEMIN8P4		
																																										RBMXL1		
																																										SPATA42		
																																										CYMP		
																																										LOC643355		
																																										LOC646626		
																																										SETSIP		
																																										ACTG1P4		
																																										NBPF6		
																																										SCARNA2		
																																										SNORD45C		
																																										MIR553		
																																										LOC729930		
																																										RP4-639F20.1		
																																										RP5-1070A16.1		
																																										MIR760		
																																										RP11-84O12.4		
																																										RP5-1033H22.2		
																																										LOC100129138		
																																										LINC01160		
																																										RP5-896L10.1		
																																										LOC100131564		
																																										ZRANB2-AS1		
																																										MIR1262		
																																										MIR4256		
																																										MIR548AA1		
																																										RP4-544H6.2		
																																										RP11-305E17.6		
																																										FAM212B-AS1		
																																										FPGT-TNNI3K		
																																										TMEM56-RWDD3		
																																										MIR2682		
																																										MIR4423		
																																										MIR548AP		
																																										NEGR1-IT1		
																																										ZRANB2-AS2		
																																										RNU6-31P		
																																										DPYD-AS1		
																																										DPYD-AS2		
																																										VAV3-AS1		
																																										KCNC4-AS1		
																																										KCND3-IT1		
																																										RP11-286B14.1		
																																										LAMTOR5-AS1		
																																										RP4-694A7.4		
																																										RP4-598G3.1		
																																										RP11-170N11.1		
																																										LOC101927844		
																																										RP11-76N22.2		
																																										LINC01057		
																																										RP5-898J17.1		
																																										LOC101928370		
																																										LOC101928436		
																																										MIR7852		
																																										MIR7856		
																																										MIR7156		
																																										RP11-421L21.3		
