cytoband	9p21.3	10q23.31	11q24.3	4q34.3	1p36.31	1p22.1	6q26	15q21.1	2q37.3	16q24.3	5q11.2	19p13.3	3q13.31	16p13.3	5q31.3	15q13.3	2q37.2	13q34	15q14	4p16.3	14q32.31	5p15.31	10p15.3	16q12.1	9p23	5q34	22q12.1	1q42.12	12q12	12q23.3	Xp21.1	10q21.1	3p26.1	12q24.33	7q21.11	17q21.31	14q23.3	10q26.3	11q13.1	2p25.2	4q25	8p23.3	3q26.31	18q23	19q13.43	17p13.3	9q21.11	
										MIR1910					KDM3B				SRP14-AS1		KCNK13	CTD-2194D22.4				WWC1		GJC2	DDN	NUP37			IL17RE						CCDC85B	ASXL2			HTR3E		ZNF418		RGP1	
										LINC01082					RBM27				ANKRD63		C14orf132	LOC101929153				FBXW11		SIPA1L2	TENC1	GNPTAB			SGOL1						PLA2G16	ADI1			C3orf70		ZNF417		TRIM14	
										C16orf95					PCDHB18				JMJD7		DDX24	CTD-2297D10.2				LARP1		RHOU	KCNH3	TCTN1			PP2D1						PTGDR2	ALLC			TPRG1		ZNF548		MELK	
										MIR4722					PCDHB17				PLA2G4B		UNC79	RP11-143A12.3				ZNF346		ACBD3	CBX5	CEP290			EFHB						ZP1	DPYSL5			CCDC39		TMEM190		RUSC2	
										MIR5093					WDR55				MIR4310		BEGAIN	CTD-2201E9.1				GEMIN5		MARC1	ANP32D	MTERFD3			CPNE9						ATG2A	TRIM54			EHHADH-AS1		ZNF524		ZBTB5	
										MIR5189					ANKHD1				RAD51-AS1		PPP4R4	RP11-1C1.4				CCDC69		ARV1	SMUG1	GLT8D2			FGD5						GANAB	KIDINS220			LPP-AS2		ZNF784		GNE	
										LINC01081					TMCO6				MIR4510		MOAP1	RP1-137K24.1				TSPAN17		AIDA	PRPF40B	KCTD10			CIDECP						DTX4	WDR35			LOC344887		NLRP4		TOPORS	
										RP11-178L8.5					RBM22				RNU6-28P		DIO3OS	CTD-2350J17.1				HAVCR1		JMJD4	METTL7A	USP44			CNTN4						FAM89B	RDH14			RTP2		ZNF542		SIGMAR1	
										MIR6775					PCDHGC5				MIR8063		INF2	RP1-167G20.1				CYFIP2		C1orf35	LETMD1	SLC41A2			SUMF1						SNHG1	AGBL5			OSTN		ZNF582		CREB3	
										MIR6774					PCDHGC4						BCL11B	RP11-260E18.1				PRELID1		TTC13	ZNF385A	TCHP			RPUSD3						POLA2	C2orf43			ATP13A5		ZNF583		UNC13B	
										MIR7851					PCDHGB7						OTUB2	MIR6131				IL17B		PGBD5	RND1	HVCN1			PRRT3						FLRT1	RBKS			SOX2-OT		ZNF497		SEMA4D	
															PCDHGB6						ZFYVE21	MIR548BA				MAT2B		C1orf115	RACGAP1	USP30			LINC00606						PRDX5	HS1BP3			FLJ46066		ZNF550		ANP32B	
															PCDHGB5						MEG8	MIR6075				MRPL22		HHIPL2	SENP1	FAM222A			LINC00620						TEX40	FNDC4			FLJ42393		ZNF579		SPTLC1	
															PCDHGB3						WDR25	LOC102467073				TLX3		VASH2	PDZRN4	FAM222A-AS1			DPH3						ATL3	COLEC11			SNORD2		NLRP7		SMC2	
															PCDHGB2						LINC00341	LOC102467074				KCNIP1		PCNXL2	DHH	ANKRD13A			LOC339862						DAK	CENPO			SNORA4		ZNF584		CCL27	
															PCDHGB1						CLMN	RP11-121L11.2				ZNF354C		WDR26	PLEKHA8P1	UBE3B			COL6A4P1						DKFZP434K028	CCDC121			C3orf65		ZSCAN4		GADD45G	
															PCDHGA11						CATSPERB					RPL26L1		TRIM11	IRAK4	C12orf23			TPRXL						B3GAT3	SMC6			GMNC		NLRP11		SPIN1	
															PCDHGA10						ZC3H14					DCTN4		MIXL1	FKBP11	C12orf29			LHFPL4						PPP1R14B	CLIP4			RP11-699L21.1		TMEM86B		SEC61B	
															PCDHGA9						RIN3					DDX41		SPRTN	KRT76	DEPDC4			VENTXP7						BSCL2	NOL10			SNORA81		ZNF549		SLC35D2	
															PCDHGA7						C14orf159					NOP16		OBSCN	CSAD	CCDC38			AC022007.5						PRPF19	C2orf44			SNORD66		SSC5D		PTENP1	
															PCDHGA6						TMEM121					HMP19		NTPCR	BIN2	C12orf45			THUMPD3-AS1						MACROD1	FAM49A			MIR944		ZNF547		DCTN3	
															PCDHGA5						AMN					UIMC1		KIAA1804	LIMA1	NEDD1			EMC3-AS1						SAC3D1	C2orf16			DPPA2P3		ZIK1		FRMPD1	
															PCDHGA4						IFI27L2					RAB24		LINC00467	PPHLN1	SLC9A7P1			SNORA7A						SNX15	ZNF512			LOC100131635		ZNF776		ZNF510	
															PCDHGA3						SETD3					NEURL1B		C1orf198	HDAC7	IKBIP			MIR563						EFEMP2	ABHD1			SNAR-I		ZSCAN1		HABP4	
															PCDHGA2						APOPT1					FAM193B		DISP1	GPR84	ASCL4			MIR885						KCNK4	EPT1			MIR1224		TMEM150B		ERP44	
															PCDHGA1						HHIPL1					TMED9		WNT3A	SLC38A2	BTBD11			EGOT						UBXN1	RSAD2			MIR1248		FAM71E2		SMC5	
															PCDHGB8P						C14orf142					CDHR2		ANGEL2	PRR13	SPIC			GHRLOS						TMEM216	DRC1			LINC01208		NLRP9		FAM120A	
															PCDHB15						STON2					SPDL1		HIST3H2A	KANSL2	ANO4			C3orf83						SLC15A3	NT5C1B			LINC00578		RFPL4A		VPS13A	
															PCDHB14						FAM181A					THG1L		SNAP47	SLC38A4	ALKBH2			FGD5P1						MS4A4A	KLHL29			LINC00888		ZSCAN5B		AGTPBP1	
															PCDHB13						BTBD6					GALNT10		CCSAP	KIF21A	FOXN4			LMCD1-AS1						TRMT112	CMPK2			MIR4789		ZSCAN22		BICD2	
															PCDHB12						EFCAB11					NHP2		LYPLAL1	SLC48A1	AMDHD1			SRGAP3-AS3						TMEM138	MBOAT2			LINC00501		ZNF530		KIAA1045	
															PCDHB11						EXOC3L4					RBM22		DNAH14	LMBR1L	SOCS2-AS1			MIR4270						WDR74	TMEM18			MIR5588		DNAAF3		TDRD7	
															PCDHB10						WDR20					NMUR2		C1orf131	SMAGP	CCDC41-AS1			MIR3714						MS4A12	CIB4			NAALADL2-AS3		ZNF773		SLC44A1	
															PCDHB9						AHNAK2					KIAA1191		SPATA17	DIP2B	RAD9B			FGD5-AS1						MRPL16	OSR1			LPP-AS1		ZNF582-AS1		CDK20	
															PCDHB8						TRMT61A					ERGIC1		EDARADD	CALCOCO1	FAM109A			SH3BP5-AS1						SDHAF2	TTC32			OPA1-AS1		TMEM238		DDX58	
															PCDHB7						TDRD9					CLK4		MRPL55	NCKAP5L	KRT19P2			BHLHE40-AS1						TMEM132A	ZNF513			ABCC5-AS1		ZNF470		TMEM2	
															PCDHB6						ANKRD9					TENM2		HIST3H2BB	C12orf10	TMTC3			ARPC4-TTLL3						HRASLS2	C2orf50			TPRG1-AS2		ZNF749		DNAJB5	
															PCDHB4						AK7					C5orf54		TATDN3	ATG101	C12orf50			MIR4791						VPS37C	PQLC3			ADIPOQ-AS1		ZNF324B		DCAF12	
															PCDHB3						IFI27L1					NSD1		BROX	SPATS2	ALDH1L2			MIR4790						CDC42BPG	LINC01105			LINC01014		ZNF805		NIPSNAP3A	
															PCDHB2						C14orf79					GMCL1P1		SLC35F3	TMEM106C	SLC5A8			CNTN4-AS2						OTUB1	TCF23			LINC01206		ZNF772		ZNF658	
															PCDHAC2						PLD4					RMND5B		B3GALNT2	RPAP3	PPTC7			SGOL1-AS1						PACS1	GAREML			LINC01209		A1BG-AS1		SPATA31A7	
															PCDHAC1						ADSSL1					RANBP17		CNIH3	DNAJC22	CCDC63			PRRT3-AS1						SLC22A11	PLB1			RP11-791G22.1		DUXA		SPAG8	
															PCDHA13						TTC8					PCYOX1L		EXOC8	ADAMTS20	NUDT4P2			SLC6A1-AS1						GPR137	FAM84A			LOC101928882		SBK2		FBXO10	
															PCDHA12						TC2N					CCNJL		RP5-1097F14.3	SLC38A1	FAM71C			ITPR1-AS1						SCYL1	GDF7			RP11-329B9.1		LOC646862		OSTF1	
															PCDHA11						SLC24A4					SH3TC2		RNF187	CSRNP2	RMST			LINC00690						MS4A7	GPR113			RP11-208N14.4		SHISA7		DNAI1	
															PCDHA10						SLC25A29					PANK3		SPATA45	PUS7L	CCER1			AC011609.3						FAM111A	FAM179A			MIR548AY		RFPL4AL1		INVS	
															PCDHA8						DEGS2					SAP30L		FAM71A	RACGAP1P	SLC17A8			AC090044.1						MS4A6A	UBXN2A			RP11-91K9.1		ZNF814		SIT1	
															PCDHA7						LINC00239					DOK3		SDE2	FAM186B	GNN			AC069277.1						MS4A5	CYS1					MIMT1		SPINK4	
															PCDHA6						LINC00637					ZFP2		C1orf65	TMEM117	TCP11L2			AC087859.1						TUT1	KRTCAP3					ZNF667-AS1		PSAT1	
															PCDHA5						LINC00618					CPEB4		IBA57	TUBA1C	C12orf79			RP11-536I6.1						C11orf95	SPDYA					LOC100128398		UBQLN1	
															PCDHA4						GSC					PRR7		LIN9	ALG10	POC1B			AC107622.1						AHNAK	ATP6V1C2					SBK3		STOML2	
															PCDHA3						SERPINA12					FBXO38		ZNF678	SPRYD3	GAS2L3			AY269186.1						TMEM223	RNASEH1					AC016629.8		PCA3	
															PCDHA2						PRIMA1					TIGD6		PRSS38	MFSD5	LINC00485									TMEM109	FAM150B					PEG3-AS1		EXOSC3	
															PCDHA1						CEP128					MXD3		RD3	COX14	MYO1H									CCDC86	DNAJC5G					LOC100287534		ABHD17B	
															VTRNA1-3						TTC7B					THOC3		IRF2BP2	ZCRB1	MMAB									C11orf48	IAH1					ZNF587B		UBAP1	
															VTRNA1-2						SYNE3					HAVCR2		MIA3	CCDC65	LINC00936									NAA40	FLJ33534					ZNF865		GOLM1	
															VTRNA1-1						EML5					PHYKPL		C1orf95	LACRT	TMEM119									ZBTB3	C2orf70					MIR4754		CHMP5	
															NMUR2						LINC00638					SMIM3		FAM89A	FMNL3	C12orf74									CPSF7	C2orf53					RNU6-35P		C9orf156	
															KCTD16						NUDT14					UNC5A		CAPN8	CERS5	C12orf42									ASRGL1	LINC00298					RNU6-64P		TMEM8B	
															PCDHB16						LINC00521					BOD1		COA6	PCED1B	C12orf75									MUS81	LINC00299					LOC101928804		SHC3	
															HMHB1						SERPINA11					COL23A1		C1orf140	KRT71	MKRN9P									INTS5	LINC01115					LOC101928886		NANS	
															SIL1						LOC283585					TIMD4		FAM177B	LARP4	C12orf76									OR10V2P	MSGN1					AC006115.3		MRPL50	
															ARAP3						LINC01146					ZNF300		ZNF847P	SLC2A13	MIR135A2									C11orf68	GEN1					MIR6802		NUTM2F	
															PCYOX1L						FAM181A-AS1					MYOZ3		MIR194-1	DCD	LINC00615									MS4A8	C2orf48					MIR6804		DIRAS2	
															SH3TC2						SNHG10					UBTD2		MIR215	MUCL1	PLEKHG7									FERMT3	PFN4					MIR6805		ASPN	
															NDFIP1						C14orf177					SFXN1		TRIM67	LRRK2	NUDT4P1									TRPT1	FAM228B					MIR6806		APTX	
															FBXO38						SLC25A47					GPRIN1		H3F3AP4	FAM186A	MIR331									FRMD8	RNF144A-AS1					MIR6807		TEX10	
															YIPF5						LINC00523					PWWP2A		DUSP5P1	RHEBL1	EID3									RNASEH2C	MFSD2B					MIR8061		LPPR1	
															TIGD6						CEP170B					C1QTNF2		C1orf145	C12orf54	CLLU1OS									EIF1AD	C2orf71					MIR6803		UBE2R2	
															SPRY4						C14orf80					ZNF354B		IBA57-AS1	ZNF641	CLLU1									NUDT22	PTRHD1							NMRK1	
															SLC4A9						CCDC85C					C5orf47		FLVCR1-AS1	OR10AD1	MIR492									SYVN1	LOC400940							STX17	
															SLC25A2						ITPK1-AS1					PPARGC1B		RP11-135J2.4	SP7	RP11-486A14.2									MS4A14	LINC00487							NOL8	
															PCDHB19P						SERPINA9					C5orf58		SNRPD2P2	GTSF1	LOC643711									LGALS12	LINC00954							C9orf40	
															PSD2						LINC00226					AFAP1L1		SNORA14B	KRT74	LOC643770									GAL3ST3	FLJ31356							TMEM38B	
															CYSTM1						LINC00221					GRPEL2		SNORA36B	ASB8	SNORA53									AP5B1	FAM110C							SMU1	
															SPINK7						COX8C					LSM11		SNORA16B	KRT72	RP11-13A1.1									CDCA5	AC018742.1							RFK	
															SMIM3						ASPG					ZNF300P1		RP11-224O19.2	PRICKLE1	C12orf73									RPLP0P2	FAM228A							NIPSNAP3B	
															FCHSD1						MIR381HG					NUDCD2		BTNL10	BCDIN3D	LOC728739									SLC22A9	SNORD92							TBC1D2	
															ZNF300						SERPINA13P					UBLCP1		LOC100130093	ALG10B	TMPO-AS1									BATF2	AC022311.1							HEMGN	
															MYOZ3						C14orf64					SLC36A2		LINC00582	CPNE8	LOC100131138									SLC22A12	DCDC2C							KIF27	
															SLC35A4						RTL1					CREBRF		MIR1182	KRT80	USP30-AS1									CATSPER1	RAD51AP2							UBAP2	
															SCGB3A2						TMEM179					PPP1R2P3		MIR1537	GRASP	PGAM1P5									HRASLS5	DNAJC27-AS1							BARX1	
															PPARGC1B						SERPINA2					FAM71B		MIR664	KRT78	LOC100287944									C11orf84	MYT1L-AS1							RNF20	
															AFAP1L1						FOXN3-AS1					RNF145		LINC00184	ANO6	MIR1827									GPHA2	OST4							OR2S2	
															GRPEL2						LINC00642					HIGD2A		TSNAX-DISC1	ARID2	MIR1251									MPEG1	MIR1301							KIAA1161	
															GPR151						DICER1-AS1					FAM153B		MIR320B2	LINC00935	MIR4303									OR5A2	BRE-AS1							LOC100499484-C9ORF174	
															ZNF300P1						C14orf180					LOC202181		MIR3122	RP11-70F11.11	MIR3685									OR5A1	SNORA80B							GBA2	
															SLC36A2						MIR127					SLC36A1		MIR3620	RP11-983P16.4	MIR3652									OR4D6	MIR4261							NAA35	
															SPINK13						MIR134					EIF4E1B		RP11-378J18.3	ZNF740	MIR3922									OR4D11	MIR4263							SLC28A3	
															JAKMIP2-AS1						MIR136					LOC257358		ITPKB-IT1	C12orf80	RP11-482D24.2									PATL1	MIR3125							POLR1E	
															ZMAT2						MIR154					EFCAB9		RP5-855F14.1	LINC00592	POC1B-GALNT4									OOSP2	MIR4262							IPPK	
															PRELID2						MIR203					SH3PXD2B		LINC01132	C12orf40	MIR548AL									MS4A15	LINC00276							NOL6	
															SH3RF2						MIR299					LOC285593		MIR4753	MUC19	MIR4497									VWCE	AC109828.1							WNK2	
															PLAC8L1						CCDC88C					FAM153A		MIR4666A	GXYLT1	MIR5700									CYB561A3	AC093690.1							SECISBP2	
															SPATA24						MIR323A					ARL10		MIR4671	TMPRSS12	RP11-887P2.5									PPP1R32	AC107070.1							DCAF10	
															DNAJC18						MIR337					AC008697.1		MIR4427	KRT6C	RP11-406H4.1									TIGD3	RNASEH1-AS1							ZCCHC6	
															STK32A						MIR345					AC008703.1		MIR4742	KRT73	RP11-626I20.3									LRRN4CL	LOC100506274							GALNT12	
															SLC36A1						MIR376C					RP11-109J4.1		MIR5008	C1QL4	CASC18									HNRNPUL2	AC011747.7							CNTNAP3	
															RELL2						MIR369					SLC36A3		LINC00538	KRT79	MIR6760									MS4A6E	AC096559.1							RMI1	
															SLC36A3						MIR376A1					KIF4B		HLX-AS1	SYT10	MIR7844									SSSCA1-AS1	LOC100506474							TRPM3	
															TMEM173						MIR377					ZNF454		LINC00210	ANKRD33										EHBP1L1	NT5C1B-RDH14							FAM214B	
															ARSI						MIR379					PRR7-AS1		LOC101927143	H1FNT										SNX32	MIR4757							GKAP1	
															IRGM						MIR380					ARSI		RP11-365O16.6	OR8S1										TSGA10IP	MIR4429							ISCA1	
															DND1						MIR381					PFN3		RP4-613A2.1	AMIGO2										EML3	AGBL5-AS1							ZNF484	
															PROB1						MIR382					ZNF879		RP5-858B6.3	KRT77										C11orf85	LINC00570							FSD1L	
															C5orf46						MIR433					IRGM		RP11-66A2.2	C12orf68										SLC25A45	HS1BP3-IT1							CEP78	
															ARHGEF37						MIR431					FBLL1		RP11-152L7.2	LINC00938										NEAT1	AC113607.2							ZCCHC7	
															SPINK6						MIR329-1					NIPAL4		RP11-295M18.2	LOC400043										LINC00301	LOC101926966							ANKRD20A1	
															ANKHD1-EIF4EBP3						MIR329-2					SIMC1		MIR6742	FIGNL2										CCDC88B	AC019118.2							C9orf64	
															MIR143						MIR323B					SAP30L-AS1		MIR6741	MIR196A2										TTC9C	AC079145.4							C9orf89	
															MIR145						MIR409					ARHGEF37			DBX2										SLC22A24	AC105253.1							HIATL2	
															SPINK14						MIR412					MIR103A1			FLJ12825										RCOR2	AC019048.1							TMEM246	
															IGIP						MIR410					MIR143			MIR148B										MS4A10	AC007463.2							HIATL1	
															ECSCR						MIR376B					MIR145			HIGD1C										FAM111B	AC011747.4							HINT2	
															GRXCR2						MIR485					MIR146A			GLYCAM1										TMEM179B	AC007249.3							C9orf24	
															SPINK9						MIR493					MIR218-2			HNRNPA1P10										MALAT1	LOC101929733							PIGO	
															LOC644762						MIR432					FNDC9			SNORA2A										SLC22A25	MIR7515							ARHGEF39	
															SNHG4						MIR494					FLJ16171			SNORA2B										SLC22A10	AC096570.1							C9orf3	
															MIR143HG						MIR495					RP11-844P9.2			SNORA34										SPDYC	AC108025.2							ALG2	
															LOC729080						MIR496					LOC644762			MIR615										OR5AN1	LOC102800314							FGD3	
															MIR3655						MIR487A					SMIM23			HOTAIR										OR4D10	LOC102800315							MSANTD3	
															LINC01024						RD3L					FAM153C			PCED1B-AS1										OR4D9								SLC25A51	
															LOC100505658						TEX22					SNORA74B			LOC100240734										OR10V1								LINC00950	
															LOC100652758						MIR539					MIR585			LOC100240735										LRRC10B								FAM122A	
															MIR5197						MIR376A2					CTB-174D11.1			BCDIN3D-AS1										PCNXL3								GRIN3A	
															ARHGAP26-AS1						MIR487B					MIR143HG			MIR1293										SCGB1D4								TMC1	
															PPP2R2B-IT1						SCARNA13					LOC728554			MIR1291										MIR192								C9orf41	
															LOC101926905						SNORA28					AACSP1			LOC100335030										MIR194-2								C9orf57	
															AC005592.1						SNORA79					FAM196B			RP11-579D7.4										SLC22A20								C9orf85	
															CTB-113P19.1						MIR411					C5orf52			MIR4701										MS4A13								C9orf135	
															CTB-12O2.1						MIR654					LOC100268168			MIR3198-2										PGA3								TAF1L	
															AC091969.1						MIR655					MIR103B1			MIR4698										PGA4								PTPDC1	
															LOC101929696						MIR656					MIR3142			RP11-793H13.3										SNORA57								ANKRD19P	
															MIR6499						SNORD113-1					MIR3141			HOXC-AS1										MIR611								ARID3C	
															MIR6831						SNORD113-2					MIR4281			HOXC-AS2										MIR612								RPP25L	
															RP11-373N22.3						SNORD113-4					MIR3912			HOXC13-AS										METTL12								C9orf131	
															LOC102546298						SNORD113-5					LINC01187			RP11-609L23.1										C11orf83								OR13C5	
																					SNORD113-6					LOC100507387			RP11-70F11.8										TMEM262								OR13C8	
																					SNORD113-7					MIR4634			LOC101927318										MIR1908								OR13C3	
																					SNORD113-9					MIR378E			PCBP2-OT1										MIR1237								OR13C4	
																					SNORD114-1					LOC100652758			CISTR										MIR3162								OR13F1	
																					SNORD114-2					LOC100996385			MIR6757										MIR3654								TRPM6	
																					SNORD114-3					CTB-113P19.1			MIR6505										MIR3680-1								RNF38	
																					SNORD114-4					CTB-12O2.1													ARL2-SNX15								GLIPR2	
																					SNORD114-5					AC091969.1													HNRNPUL2-BSCL2								NXNL2	
																					SNORD114-6					LOC101927697													MIR4489								RASEF	
																					SNORD114-7					RP11-175K6.1													MIR4690								FAM201A	
																					SNORD114-8					AC011343.1													MIR4488								TRMT10B	
																					SNORD114-9					RP11-80G7.1													MIR548AR								MIRLET7DHG	
																					SNORD114-10					LOC101927835													LOC100996455								FAM120AOS	
																					SNORD114-11					CTB-178M22.2													AP001258.4								LINC00475	
																					SNORD114-12					CTD-2270F17.1													RP11-855O10.2								LINC00961	
																					SNORD114-13					RP11-779O18.1													OVOL1-AS1								ATP8B5P	
																					SNORD114-14					LOC101928136													LOC102288414								TSTD2	
																					SNORD114-15					LOC101928154													MIR6503								ZNF782	
																					SNORD114-16					MIR6499													MIR6514								LOC158434	
																					SNORD114-17					MIR8056													MIR6746								RP11-569G13.2	
																					SNORD114-18					LOC102546298													MIR6747								PRUNE2	
																					SNORD114-19					LOC102546299													MIR6748								TMEM252	
																					SNORD114-20					CTB-7E3.1													MIR6751								ZNF169	
																					SNORD114-21					LOC102577424													MIR548BA								AAED1	
																					SNORD114-22																		MIR6750								ZNF367	
																					SNORD114-23																		MIR6749								FAM219A	
																					SNORD114-24																		MIR6879								CCDC107	
																					SNORD114-25																		MIR7155								ANKS6	
																					SNORD114-26																										SUSD3	
																					SNORD114-27																										CBWD5	
																					SNORD114-28																										ANKRD18A	
																					SNORD114-29																										MAMDC2	
																					SNORD114-30																										FRMD3	
																					SNORD114-31																										FAM205A	
																					MIR758																										C9orf47	
																					MIR668																										SPATA31E1	
																					MIR770																										RP13-60M5.2	
																					SNORA11B																										RP11-381O7.3	
																					MIR300																										LOC286359	
																					MIR541																										OR13C9	
																					MIR665																										OR13D1	
																					MIR543																										LOC286367	
																					MIR889																										RP11-406A20.4	
																					ZBTB42																										FOXD4L3	
																					RP11-76E12.1																										LOC340508	
																					LINC00605																										RP11-555F9.2	
																					MIR1247																										SPATA31D5P	
																					MIR1185-1																										KIF24	
																					MIR1185-2																										IGFBPL1	
																					MIR1197																										MURC	
																					MIR1193																										ENHO	
																					MIR4309																										AQP7P1	
																					MIR3173																										PTAR1	
																					RP11-299L17.3																										ERCC6L2	
																					TUNAR																										KGFLP1	
																					MEG9																										FAM205B	
																					MIR3545																										SPATA31A6	
																					MIR4710																										GLIDR	
																					MIR2392																										SPATA31D4	
																					DIO2-AS1																										SPATA31D3	
																					MIR5698																										SPATA31D1	
																					LINC00911																										LOC389765	
																					RP11-799P8.1																										C9orf153	
																					LOC101928767																										FAM221B	
																					RP11-300J18.1																										OR13J1	
																					RP11-1078H9.5																										CTSL3P	
																					RP11-725G5.2																										LOC392364	
																					LOC101929241																										OR13C2	
																					RP11-909M7.3																										TMEM215	
																					MIR6765																										TOMM5	
																					MIR8071-1																										FAM74A1	
																					MIR6764																										ZNF658B	
																					LOC102723354																										C9orf170	
																																															CENPP	
																																															MIRLET7A1	
																																															MIRLET7D	
																																															MIRLET7F1	
																																															MIR204	
																																															MIR23B	
																																															MIR24-1	
																																															MIR27B	
																																															MIR7-1	
																																															LINC00587	
																																															IDNK	
																																															CNTFR-AS1	
																																															LOC440173	
																																															BX255923.3	
																																															SUGT1P1	
																																															ANKRD20A3	
																																															ANKRD20A2	
																																															AQP7P3	
																																															SPATA31C1	
																																															LOC441454	
																																															LOC441455	
																																															NUTM2G	
																																															ANKRD18B	
																																															RP11-60I3.5	
																																															PTGER4P2-CDK2AP2P2	
																																															FOXB2	
																																															CBWD3	
																																															C9orf129	
																																															LOC494127	
																																															C9orf135-AS1	
																																															FAM27A	
																																															PGM5-AS1	
																																															PGM5P2	
																																															LOC642236	
																																															SPATA31A2	
																																															SPATA31A4	
																																															RP11-327I22.6	
																																															LINC01189	
																																															CBWD6	
																																															SPATA31C2	
																																															HRCT1	
																																															SPATA31A1	
																																															FAM74A2	
																																															RPSAP9	
																																															FOXD4L6	
																																															FOXD4L5	
																																															LOC653501	
																																															KGFLP2	
																																															MSMP	
																																															SPATA31A3	
																																															SPATA31A5	
																																															FAM74A3	
																																															CNTNAP3B	
																																															ANKRD20A4	
																																															FAM166B	
																																															FOXD4L2	
																																															SNORD121A	
																																															SNORA84	
																																															LOC100128076	
																																															LOC100128361	
																																															LINC00476	
																																															UNQ6494	
																																															TOPORS-AS1	
																																															LOC100129316	
																																															FAM27E3	
																																															RP11-307E17.8	
																																															LOC100132352	
																																															LOC100132781	
																																															FAM27C	
																																															FAM95B1	
																																															FAM27B	
																																															LOC100133920	
																																															LINC00092	
																																															VPS13A-AS1	
																																															FAM27E1	
																																															FAM27E2	
																																															FAM95C	
																																															MIR548H3	
																																															MIR2278	
																																															MIR3074	
																																															MIR4291	
																																															MIR3153	
																																															MIR4290	
																																															MIR4289	
																																															CCDC180	
																																															LOC100499484	
																																															MIR3910-1	
																																															MIR3910-2	
																																															MIR3651	
																																															LOC100506710	
																																															RP11-276H19.1	
																																															MAMDC2-AS1	
																																															SMC5-AS1	
																																															LOC100507346	
																																															MSANTD3-TMEFF1	
																																															MIR4667	
																																															MIR4540	
																																															MIR4475	
																																															MIR4670	
																																															MIR4476	
																																															BANCR	
																																															NAMA	
																																															PTENP1-AS	
																																															SNORD121B	
																																															LOC101926900	
																																															RP11-274B18.2	
																																															LOC101927069	
																																															RP11-165H23.1	
																																															RP11-154D17.1	
																																															RP11-406A20.1	
																																															RP11-389K14.3	
																																															RP11-554F20.1	
																																															LOC101928523	
																																															RP11-326F20.5	
																																															LOC101929688	
																																															MIR6851	
																																															MIR6852	
																																															MIR6854	
																																															MIR8081	
																																															MIR6853	
																																															MIR6081	
																																															MIR6130	
