cytoband	9p21.3	2q22.1	8p23.2	1p13.1	4q35.2	5q11.2	10q23.31	13q11	11p15.5	19p13.3	11q25	18q23	16q23.1	9p23	2q37.3	4q22.1	22q13.32	21q11.2	3p13	6q26	13q14.2	15q12	10p15.3	9q21.11	19q13.32	3p25.3	12q24.33	4p16.3	3p12.3	15q21.1	Xp22.2	17q25.3	7q11.22	1p36.11	14q32.33	16q24.3	3q11.1	17p13.3	16p13.3	14q11.2	13q34	6q22.31	22q11.1	7q36.3	10q26.3	6p25.3	8p11.21	17p11.2	19q11	5q35.2	17q11.2	Xp11.3	1p36.32	2p25.3	12q12	3q29	19q13.43	
															SCARNA5																			PRAMEF1																SMIM3			PINK1					
															D2HGDH																			PRAMEF2																UNC5A			PRAMEF1					
															LOC728323																			AUNIP																TRIM41			PRAMEF2					
															PP14571																			EFHD2																BOD1			NADK					
															LOC100286922																			RSG1																COL23A1			EFHD2					
															MIR1471																			MUL1																TIMD4			MMEL1					
															MIR1244-1																			LIN28A																ZNF300			RSG1					
															BOK-AS1																			AGMAT																MYOZ3			OR4F5					
															MIR1244-2																			FAM110D																UBTD2			MUL1					
															MIR4269																			DHDDS																SCGB3A1			NOL9					
															UBE2F-SCLY																			ZNF436																SFXN1			AGMAT					
															MIR4439																			TAS1R2																GPRIN1			LINC00115					
															MIR4777																			ACTL8																PWWP2A			MORN1					
															MIR2467																			SH3BGRL3																C1QTNF2			GPR157					
															MIR4440																			TMEM222																ZNF354B			SPSB1					
															MIR4786																			USP48																C5orf47			GLTPD1					
															MIR4441																			NBPF3																PPARGC1B			TAS1R2					
															MIR548AR																			ZDHHC18																C5orf58			TAS1R1					
															MIR5001																			DDI2																OR2Y1			OR4F16					
															MIR5702																			TRIM63																AFAP1L1			ACTL8					
															MIR5703																			CROCCP2																GRPEL2			CCNL2					
															CAPN10-AS1																			SYTL1																LSM11			ESPN					
															LINC01237																			IGSF21																ZNF300P1			TAS1R3					
															MIR6811																			KIAA2013																NUDCD2			ATAD3B					
															AC093642.3																			STPG1																UBLCP1			PLEKHN1					
																																		UBXN11																SLC36A2			USP48					
																																		C1orf158																CREBRF			NBPF3					
																																		FBXO44																BTNL9			SLC25A33					
																																		CROCCP3																PPP1R2P3			DDI2					
																																		FHAD1																FAM71B			LZIC					
																																		FAM46B																RNF145			PERM1					
																																		C1orf172																HIGD2A			CROCCP2					
																																		LRRC38																FAM153B			IGSF21					
																																		AADACL3																LOC202181			KIAA1751					
																																		IFFO2																SLC36A1			KIAA2013					
																																		MYOM3																EIF4E1B			THAP3					
																																		KLHDC7A																RASGEF1C			C1orf158					
																																		VWA5B1																LOC257358			FBXO44					
																																		UBXN10																EFCAB9			CROCCP3					
																																		ARHGEF19																SH3PXD2B			FHAD1					
																																		C1orf127																LOC285593			LOC115110					
																																		C1orf213																FAM153A			RBP7					
																																		PDIK1L																ARL10			ACAP3					
																																		C1orf64																AC008697.1			UBE2J2					
																																		IFNLR1																AC008703.1			LRRC38					
																																		FAM43B																RP11-109J4.1			AADACL3					
																																		PAQR7																SLC36A3			PUSL1					
																																		TMEM51-AS1																KIF4B			B3GALT6					
																																		AKR7L																OR2V2			IFFO2					
																																		TMCO4																ZNF454			TPRG1L					
																																		ZNF683																C5orf60			FAM213B					
																																		MDS2																PRR7-AS1			KLHDC7A					
																																		RP11-10N16.2																ARSI			VWA5B1					
																																		SLC25A34																PFN3			UBXN10					
																																		ESPNP																ZNF879			ARHGEF19					
																																		LINC01141																IRGM			ACTRT2					
																																		AADACL4																FBLL1			MIB2					
																																		PRAMEF5																NIPAL4			C1orf127					
																																		HNRNPCL1																SIMC1			SAMD11					
																																		PRAMEF9																SAP30L-AS1			LOC148413					
																																		PRAMEF10																ARHGEF37			PHF13					
																																		FAM131C																MIR103A1			LINC00337					
																																		PADI6																MIR143			CCDC27					
																																		DRAXIN																MIR145			C1orf64					
																																		SPATA21																MIR146A			SLC2A7					
																																		APITD1																MIR218-2			CALML6					
																																		CATSPER4																FNDC9			FAM43B					
																																		TMEM82																FLJ16171			TMEM201					
																																		TRNP1																MIR340			C1orf86					
																																		CD164L2																SNORD95			TMEM51-AS1					
																																		PRAMEF12																SNORD96A			ATAD3C					
																																		PRAMEF21																RP11-844P9.2			AKR7L					
																																		PRAMEF8																ZFP62			RP11-465B22.5					
																																		PRAMEF18																LOC644762			TTLL10					
																																		PRAMEF17																SMIM23			TMCO4					
																																		PLA2G2C																CBY3			NPHP4					
																																		PRAMEF4																FAM153C			FAM41C					
																																		PRAMEF13																SNORA74B			RP5-1166F10.1					
																																		SH2D5																MIR585			SLC25A34					
																																		NCMAP																CTB-174D11.1			ESPNP					
																																		PRAMEF3																MIR143HG			C1orf174					
																																		LDLRAD2																LOC728554			KLHL17					
																																		PRAMEF11																AACSP1			TMEM240					
																																		PRAMEF6																LINC00847			TMEM52					
																																		HNRNPCP5																OR4F29			LINC01141					
																																		UQCRHL																FAM196B			AADACL4					
																																		MINOS1																RP4-669L17.10			PRAMEF5					
																																		PRAMEF7																LOC100133331			HNRNPCL1					
																																		RPS14P3																C5orf52			PRAMEF9					
																																		LOC644961																LOC100268168			PRAMEF10					
																																		PRAMEF20																MIR1229			FAM131C					
																																		LACTBL1																MIR103B1			PADI6					
																																		LOC646471																MIR3142			DRAXIN					
																																		LOC649330																MIR3141			SPATA21					
																																		PRAMEF22																MIR4281			AGRN					
																																		PRAMEF15																MIR3912			APITD1					
																																		PRAMEF16																LINC01187			GPR153					
																																		SNORA59A																LOC100507387			FAM132A					
																																		C1orf195																TRIM52-AS1			HES5					
																																		C1orf234																MIR4634			SMIM1					
																																		PRAMEF23																MIR4638			RNF207					
																																		FAM231A																MIR378E			TMEM82					
																																		FLJ37453																LOC100652758			HES3					
																																		MIR1976																HEIH			PRAMEF12					
																																		NPPA-AS1																LOC100996385			PRAMEF21					
																																		MIR3115																CTB-113P19.1			PRAMEF8					
																																		MIR4253																CTB-12O2.1			PRAMEF18					
																																		MIR3917																AC091969.1			PRAMEF17					
																																		MIR3675																LOC101927697			PLA2G2C					
																																		LOC100506730																RP11-175K6.1			FAM87B					
																																		RP5-1071N3.1																AC011343.1			PRAMEF4					
																																		RP5-886K2.3																RP11-80G7.1			PRAMEF13					
																																		RP4-594I10.3																LOC101927835			SH2D5					
																																		APITD1-CORT																CTB-178M22.2			RNF223					
																																		MINOS1-NBL1																CTD-2270F17.1			PRAMEF3					
																																		MIR4695																RP11-779O18.1			LDLRAD2					
																																		MIR4684																LOC101928136			MIR200A					
																																		MIR4632																LOC101928154			MIR200B					
																																		MIR378F																LOC101928445			MIR34A					
																																		RCAN3AS																CTC-338M12.4			LINC00982					
																																		PINK1-AS																MIR6165			PRAMEF11					
																																		MTOR-AS1																MIR6499			PRAMEF6					
																																		RP5-1057J7.6																MIR8056			HNRNPCP5					
																																		UBXN10-AS1																MIR8089			UQCRHL					
																																		RP1-224A6.3																LOC102546298			MINOS1					
																																		LOC101928163																LOC102546299			ANKRD65					
																																		LOC101928303																CTB-7E3.1			PRAMEF7					
																																		RP1-69M21.2																LOC102577424			MIR429					
																																		MIR6084																LOC102577426			LINC01128					
																																		MIR6731																			TMEM88B					
																																		MIR7846																			C1orf233					
																																		MIR6127																			RPS14P3					
																																		MIR6730																			C1orf200					
																																		MIR6729																			PRAMEF20					
																																																					FAM138A					
																																																					LOC649330					
																																																					PRAMEF22					
																																																					PRAMEF15					
																																																					WASH7P					
																																																					PRAMEF16					
																																																					SNORA59A					
																																																					MIR551A					
																																																					C1orf195					
																																																					CDK11A					
																																																					SLC35E2B					
																																																					RP13-614K11.1					
																																																					PRAMEF23					
																																																					FAM231A					
																																																					FLJ37453					
																																																					LOC729737					
																																																					OR4F29					
																																																					LOC100129534					
																																																					LOC100130417					
																																																					RP4-669L17.10					
																																																					LOC100133331					
																																																					LOC100133445					
																																																					LINC01134					
																																																					DDX11L1					
																																																					TTC34					
																																																					LOC100288069					
																																																					NPPA-AS1					
																																																					MIR4251					
																																																					MIR4252					
																																																					MIR3675					
																																																					LOC100505887					
																																																					ENO1-AS1					
																																																					LOC100506022					
																																																					LOC100506730					
																																																					RP5-1071N3.1					
																																																					APITD1-CORT					
																																																					MINOS1-NBL1					
																																																					MIR4695					
																																																					MIR4689					
																																																					MIR4632					
																																																					MIR4417					
																																																					PINK1-AS					
																																																					MTOR-AS1					
																																																					UBXN10-AS1					
																																																					RP1-224A6.3					
																																																					RP1-69M21.2					
																																																					MIR6084					
																																																					MIR6723					
																																																					MIR6726					
																																																					MIR6727					
																																																					MIR6728					
																																																					MIR7846					
																																																					MIR6730					
																																																					MIR6808					
																																																					MIR6859-1					
																																																					MIR6729					
