cytoband	6p22.1	1q21.2	11q13.3	12q15	22q13.2	3p13	8q24.21	17q25.1	12q14.1	7q34	14q11.2	15q25.1	5p15.33	15q26.3	11q12.3	7p21.3	5q31.3	1q44	19q13.43	12p13.31	Xq28	22q11.21	1p36.22	16p11.2	Xp22.2	1p12	20q13.33	
																							C1orf159					
																							AURKAIP1					
																							MRPL20					
																							AIM1L					
																							TMEM51					
																							BSDC1					
																							XKR8					
																							TMEM39B					
																							CDCA8					
																							ARHGEF10L					
																							RNF220					
																							VPS13D					
																							EVA1B					
																							ATAD3A					
																							TMEM57					
																							TRIM62					
																							PANK4					
																							CAMK2N1					
																							ASAP3					
																							PNRC2					
																							PIGV					
																							NBPF1					
																							MAP7D1					
																							NECAP2					
																							IQCC					
																							DNAJC11					
																							RCC2					
																							DMAP1					
																							AJAP1					
																							TMEM234					
																							MTFR1L					
																							CTNNBIP1					
																							RSRP1					
																							AGTRAP					
																							PITHD1					
																							MAN1C1					
																							NIPAL3					
																							SEPN1					
																							TP73-AS1					
																							PLEKHG5					
																							LRRC47					
																							PTCHD2					
																							KIF17					
																							ZSWIM5					
																							KIAA1522					
																							HES4					
																							GRHL3					
																							DLGAP3					
																							IL22RA1					
																							HIVEP3					
																							MIIP					
																							CELA2A					
																							GPATCH3					
																							CLSPN					
																							PRDM16					
																							OXCT2					
																							RRAGC					
																							TINAGL1					
																							LEPRE1					
																							PLA2G2F					
																							SMAP2					
																							S100PBP					
																							MEAF6					
																							EXO5					
																							CEP85					
																							NMNAT1					
																							ELOVL1					
																							VWA1					
																							MRPS15					
																							PINK1					
																							MARCKSL1					
																							PRAMEF1					
																							PRAMEF2					
																							NADK					
																							ZFP69B					
																							PHACTR4					
																							AUNIP					
																							ERI3					
																							C1orf50					
																							CCDC28B					
																							EFHD2					
																							MMEL1					
																							RSG1					
																							OR4F5					
																							NKAIN1					
																							MUL1					
																							TMEM53					
																							AKIRIN1					
																							HECTD3					
																							YRDC					
																							NOL9					
																							PPCS					
																							LIN28A					
																							SH3D21					
																							SNIP1					
																							AGMAT					
																							ZMYM1					
																							LINC00115					
																							MORN1					
																							FAM110D					
																							KIAA0319L					
																							DHDDS					
																							GPR157					
																							ZC3H12A					
																							SPSB1					
																							GLTPD1					
																							ZNF436					
																							TAS1R2					
																							TAS1R1					
																							GJA9					
																							OR4F16					
																							SYNC					
																							ACTL8					
																							TSSK3					
																							CCNL2					
																							HYI					
																							SH3BGRL3					
																							SESN2					
																							ESPN					
																							TAS1R3					
																							ATAD3B					
																							STK40					
																							TMEM222					
																							PLEKHN1					
																							USP48					
																							ZMYND12					
																							NBPF3					
																							ZDHHC18					
																							SLC25A33					
																							DDI2					
																							LZIC					
																							NT5C1A					
																							TRIM63					
																							FAM167B					
																							PERM1					
																							CROCCP2					
																							HPDL					
																							MFSD2A					
																							SYTL1					
																							IGSF21					
																							LSM10					
																							C1orf94					
																							SNHG12					
																							KIAA1751					
																							KIAA2013					
																							THAP3					
																							STPG1					
																							SPOCD1					
																							UBXN11					
																							C1orf158					
																							FBXO44					
																							ATPIF1					
																							SNORD46					
																							SNORD38A					
																							SNORD38B					
																							MED8					
																							SMIM12					
																							ADC					
																							TMEM54					
																							TOE1					
																							ERMAP					
																							CSMD2					
																							CROCCP3					
																							FHAD1					
																							LOC115110					
																							RAB42					
																							FAM46B					
																							RBP7					
																							ACAP3					
																							UBE2J2					
																							C1orf172					
																							LRRC38					
																							AADACL3					
																							PUSL1					
																							B3GALT6					
																							IFFO2					
																							TPRG1L					
																							FAM213B					
																							MYOM3					
																							TMCO2					
																							ZNF684					
																							GJB4					
																							HMGB4					
																							RNF19B					
																							A3GALT2					
																							C1orf122					
																							OSCP1					
																							C1orf216					
																							KLHDC7A					
																							VWA5B1					
																							UBXN10					
																							KLF17					
																							TMEM125					
																							ARHGEF19					
																							ACTRT2					
																							MIB2					
																							C1orf127					
																							SAMD11					
																							LOC148413					
																							PHF13					
																							LINC00337					
																							CCDC27					
																							C1orf213					
																							DCDC2B					
																							ZNF362					
																							LINC01225					
																							MANEAL					
																							PDIK1L					
																							CLDN19					
																							WDR65					
																							C1orf210					
																							CCDC24					
																							BTBD19					
																							C1orf64					
																							SLC2A7					
																							CALML6					
																							IFNLR1					
																							CITED4					
																							FAM43B					
																							PAQR7					
																							AGO3					
																							AGO4					
																							FAM76A					
																							TMEM201					
																							C1orf86					
																							TXLNA					
																							SLFNL1					
																							TMEM51-AS1					
																							ATAD3C					
																							AKR7L					
																							FNDC5					
																							RP11-465B22.5					
																							TTLL10					
																							TMCO4					
																							ZNF683					
																							MDS2					
																							NPHP4					
																							BEST4					
																							LINC01226					
																							FAM41C					
																							RP11-10N16.2					
																							RSPO1					
																							EPHA10					
																							RP5-1166F10.1					
																							RIMKLA					
																							SLC25A34					
																							ESPNP					
																							RP11-214L19.1					
																							C1orf174					
																							KLHL17					
																							TMEM240					
																							TMEM52					
																							MTMR9LP					
																							ZBTB8OS					
																							TFAP2E					
																							LINC01141					
																							LOC339539					
																							C1orf228					
																							ZFP69					
																							AADACL4					
																							PRAMEF5					
																							HNRNPCL1					
																							PRAMEF9					
																							PRAMEF10					
																							TCTEX1D4					
																							SERINC2					
																							FAM131C					
																							PADI6					
																							BMP8A					
																							DRAXIN					
																							SPATA21					
																							CCDC23					
																							AGRN					
																							APITD1					
																							CATSPER4					
																							GPR153					
																							FAM132A					
																							HES5					
																							SMIM1					
																							RNF207					
																							TMEM82					
																							TRNP1					
																							CD164L2					
																							HES3					
																							PRAMEF12					
																							PRAMEF21					
																							PRAMEF8					
																							PRAMEF18					
																							PRAMEF17					
																							PLA2G2C					
																							TMEM200B					
																							FAM87B					
																							PRAMEF4					
																							PRAMEF13					
																							SH2D5					
																							NCMAP					
																							LINC01144					
																							RNF223					
																							PRAMEF3					
																							LDLRAD2					
																							RP5-1007G16.1					
																							MIR200A					
																							MIR200B					
																							MIR30C1					
																							MIR30E					
																							MIR34A					
																							LINC00982					
																							PRAMEF11					
																							PRAMEF6					
																							HNRNPCP5					
																							UQCRHL					
																							MINOS1					
																							SLC2A1-AS1					
																							FAM183A					
																							ANKRD65					
																							PRAMEF7					
																							PEF1					
																							MIR429					
																							KIAA0754					
																							LINC01128					
																							TMEM88B					
																							C1orf233					
																							RPS14P3					
																							LOC644961					
																							C1orf200					
																							PRAMEF20					
																							FAM138A					
																							LACTBL1					
																							LOC646471					
																							LOC649330					
																							ZBTB8A					
																							LOC653160					
																							PRAMEF22					
																							PRAMEF15					
																							WASH7P					
																							PRAMEF16					
																							SCARNA1					
																							SNORA44					
																							SNORA55					
																							SNORA61					
																							SNORA59A					
																							SNORA16A					
																							SNORD85					
																							SNORD99					
																							SNORD103A					
																							MIR551A					
																							C1orf195					
																							ZBTB8B					
																							LINC01137					
																							PPIEL					
																							CCDC30					
																							CDK11A					
																							SLC35E2B					
																							RP13-614K11.1					
																							C1orf234					
																							PRAMEF23					
																							FAM231A					
																							FLJ37453					
																							LOC729737					
																							OR4F29					
																							FAM229A					
																							MATN1-AS1					
																							LOC100129534					
																							LOC100129924					
																							LOC100130417					
																							NFYC-AS1					
																							RP4-669L17.10					
																							KDM4A-AS1					
																							LOC100133331					
																							LOC100133445					
																							LINC01134					
																							DDX11L1					
																							TTC34					
																							LOC100288069					
																							MIR1976					
																							NPPA-AS1					
																							MIR3115					
																							MIR4255					
																							MIR4253					
																							MIR4251					
																							MIR4252					
																							MIR4254					
																							MIR3659					
																							MIR3917					
																							MIR3605					
																							MIR3675					
																							LOC100505887					
																							ENO1-AS1					
																							LOC100506022					
																							ZMYM6NB					
																							LOC100506730					
																							RP5-1071N3.1					
																							RP5-886K2.3					
																							RP4-594I10.3					
																							SLFNL1-AS1					
																							APITD1-CORT					
																							GJA9-MYCBP					
																							MINOS1-NBL1					
																							MIR4695					
																							MIR4420					
																							MIR4684					
																							MIR4689					
																							MIR4632					
																							MIR4417					
																							MIR378F					
																							RCAN3AS					
																							MIR5581					
																							MIR5584					
																							PINK1-AS					
																							MTOR-AS1					
																							ERI3-IT1					
																							RP5-1057J7.6					
																							UBXN10-AS1					
																							RP1-224A6.3					
																							LOC101928163					
																							LOC101928303					
																							RP3-437I16.1					
																							RP1-69M21.2					
																							RP11-111I12.1					
																							MIR6079					
																							MIR6084					
																							MIR6723					
																							MIR6726					
																							MIR6727					
																							MIR6728					
																							MIR6731					
																							MIR6732					
																							MIR6733					
																							MIR6735					
																							MIR7846					
																							MIR6127					
																							MIR6730					
																							MIR6734					
																							MIR6808					
																							MIR6859-1					
																							MIR6729					
