cytoband	14q13.3	1q21.3	8q24.21	11q13.3	7p11.2	3q26.33	12q15	8q24.3	5p15.33	17q24.2	7p22.1	19q13.2	18p11.32	5q35.1	4q12	19q12	8p11.23	22q11.21	9q34.3	20q11.21	7q31.2	12p12.1	6p21.1	10q21.2	17q12	Xp22.33	6q21	4p16.3	6p22.2	12p13.33	12q13.2	1p34.1	2q31.2	16p13.12	2p16.1	21q22.2	20q13.32	3p21.31	16q22.1	
		TDRKH										NCCRP1						SEPT5-GP1BB										ZNF732					MIR10B	MIR3180-3		COL18A1-AS1		PPM1M		
		CD160										SYCN						MIR4761										SCARNA22					LOC440925	MIR3180-1		KRTAP10-4		C3orf45		
		CELF3										LEUTX																MIR572					DFNB59	MIR3179-2		KRTAP10-6		KLHDC8B		
		VPS45										SELV																LOC728369					MIR561	MIR3180-2		KRTAP10-7		FBXW12		
		POGZ										ZNF829																LOC728373					MIR933	MIR3179-1		KRTAP10-9		FLJ39534		
		SYT11										ZNF568																LOC728379					LOC100130691	MIR3179-3		KRTAP10-1		CCDC36		
		RPRD2										ZNF790																USP17L5					TMEM194B	MIR3180-4		KRTAP10-11		C3orf62		
		SNAPIN										ZNF793																LOC728393					SP9	MIR548AA2		KRTAP10-2		AMIGO3		
		RUSC1										PAPL																LOC728400					MIR1246	MIR4718		KRTAP10-5		CDHR4		
		CA14										SPRED3																LOC728405					MIR548N	SNX29P1		KRTAP10-8		FAM212A		
		NBPF14										LGALS17A																FLJ36777					MIR1258			KRTAP10-3		IQCF2		
		C1orf43										LOC643669																PSAPL1					MIR1245A			KRTAP12-3		IQCF5		
		CHTOP										LOC644189																MIR943					MIR3128			KRTAP12-4		IQCF3		
		LCE2B										LOC644554																LOC100129917					MIR3129			KRTAP10-12		MIRLET7G		
		SLC39A1										LGALS7B																LOC100129931					MIR3606			LINC00114		MIR135A1		
		RNF115										MIR641																LOC100130872					LOC100505695			LOC642852		MIR191		
		TMOD4										LOC728752																LOC100133461					LOC100506783			LINC00163		TMEM89		
		CERS2										LOC100129935																MIR548I2					LOC100506866			SSR4P1		IQCF6		
		CRNN										LOC100507433																TMED11P					MIR4437			LOC100129027		MIR425		
		BOLA1										MIA-RAB4B																MIR4274					MIR1245B			MIR3197		SPINK8		
		ZBTB7B										RAB4B-EGLN2																MIR3138					MIR4444-1			LOC100505746		C3orf71		
		APH1A										MIR4530																LOC100507266								DSCAM-AS1		LOC646498		
		PLEKHO1										LOC100631378																MIR378D1								MIR4760		C3orf74		
		ACP6																										MIR4800										BSN-AS2		
		GPR89B																										MIR4798										MIR1226		
		OAZ3																										HTT-AS1										MIR711		
		DPM3																																				MIR4271		
		MRPS21																																				IQCF4		
		ADAMTSL4																																				ABHD14A-ACY1		
		CRCT1																																				MIR4793		
		GON4L																																				MIR4787		
		C1orf56																																				MIR4443		
		MSTO1																																				LUST		
		GOLPH3L																																						
		YY1AP1																																						
		UBE2Q1																																						
		FAM63A																																						
		ASH1L																																						
		LENEP																																						
		SLC50A1																																						
		CDC42SE1																																						
		OTUD7B																																						
		PGLYRP4																																						
		ATP8B2																																						
		FAM91A2																																						
		PBXIP1																																						
		S100A14																																						
		GATAD2B																																						
		CGN																																						
		ZNF687																																						
		HCN3																																						
		PRUNE																																						
		MRPL9																																						
		INTS3																																						
		SCNM1																																						
		TNFAIP8L2																																						
		C1orf54																																						
		TRIM46																																						
		TARS2																																						
		FLAD1																																						
		SNX27																																						
		ANP32E																																						
		HORMAD1																																						
		POLR3GL																																						
		LCE3D																																						
		AQP10																																						
		PYGO2																																						
		NUP210L																																						
		PGLYRP3																																						
		GNRHR2																																						
		THEM4																																						
		GABPB2																																						
		TCHHL1																																						
		RPTN																																						
		TDRD10																																						
		SHE																																						
		HIST2H3C																																						
		DCST2																																						
		LIX1L																																						
		S100A16																																						
		CREB3L4																																						
		C1orf51																																						
		HFE2																																						
		ANKRD35																																						
		LELP1																																						
		DCST1																																						
		BNIPL																																						
		SPRR4																																						
		PPIAL4A																																						
		PDIA3P																																						
		LCE4A																																						
		NBPF11																																						
		NUDT17																																						
		KRTCAP2																																						
		CRTC2																																						
		LCE5A																																						
		RIIAD1																																						
		THEM5																																						
		NBPF15																																						
		ANKRD34A																																						
		RUSC1-AS1																																						
		HIST2H2AB																																						
		HIST2H3A																																						
		HIST2H2BC																																						
		HIST2H2BA																																						
		S100A7A																																						
		LINGO4																																						
		LCE1A																																						
		LCE1B																																						
		LCE1C																																						
		LCE1D																																						
		LCE1E																																						
		LCE1F																																						
		LCE2A																																						
		LCE2C																																						
		LCE2D																																						
		LCE3A																																						
		LCE3B																																						
		LCE3C																																						
		LCE3E																																						
		LOC375010																																						
		NOTCH2NL																																						
		FLJ39739																																						
		LOC388692																																						
		LYSMD1																																						
		HRNR																																						
		FLG2																																						
		C1orf189																																						
		NBPF9																																						
		HIST2H2BF																																						
		KPRP																																						
		LCE6A																																						
		HIST2H4B																																						
		PRR9																																						
		PPIAL4G																																						
		PPIAL4D																																						
		LOC645166																																						
		LOC645676																																						
		POU5F1P4																																						
		S100A7L2																																						
		EMBP1																																						
		SRGAP2P2																																						
		PPIAL4B																																						
		LOC653513																																						
		GPR89A																																						
		PPIAL4C																																						
		HIST2H3D																																						
		FAM72B																																						
		MIR554																																						
		MIR555																																						
		MIR92B																																						
		HIST2H2AA4																																						
		FAM72D																																						
		LOC728855																																						
		LOC728875																																						
		NBPF24																																						
		GPR89C																																						
		NBPF16																																						
		PDZK1P1																																						
		PPIAL4F																																						
		LOC728989																																						
		PPIAL4E																																						
		PFN1P2																																						
		MIR190B																																						
		C1orf68																																						
		MSTO2P																																						
		LOC100130000																																						
		LOC100132111																																						
		NBPF10																																						
		FCGR1C																																						
		C2CD4D																																						
		LOC100286793																																						
		LOC100289211																																						
		MIR4257																																						
		MIR4258																																						
		LOC100505666																																						
		TNFAIP8L2-SCNM1																																						
