cytoband	9p21.3	10q21.2	2q22.1	Xp22.33	1p36.11	17q25.1	4q35.2	7p12.1	3p24.1	1p12	6q16.1	15q21.1	3q27.3	3p11.1	5q35.3	12q24.33	5q14.3	18q21.32	Xq21.31	2p23.3	2q37.3	6p22.2	16q24.3	4p16.3	8p21.2	6q22.1	13q12.11	
																					TMEM169						SIAH3	
																					DNER						KCNRG	
																					B3GNT7						LINC00282	
																					SP140L						SLC46A3	
																					STK11IP						ANKRD20A9P	
																					MOGAT1						LINC00550	
																					AGAP1						LINC00347	
																					TWIST2						C1QTNF9	
																					DIS3L2						FREM2	
																					NEU4						NEK5	
																					AP1S3						LINC00442	
																					SGPP2						TPTE2P6	
																					SPATA3						THSD1P1	
																					TMEM198						KCTD4	
																					ZFAND2B						RASL11A	
																					FBXO36						C1QTNF9B	
																					MTERFD2						SHISA2	
																					UBE2F						NHLRC3	
																					OTOS						SERP2	
																					MYEOV2						SERTM1	
																					OR6B3						LINC00547	
																					LOC150935						LINC00548	
																					PKI55						MIR15A	
																					C2orf67						MIR16-1	
																					LOC151171						ATP5EP2	
																					LOC151174						LOC440131	
																					CCDC140						ALG11	
																					SLC23A3						MZT1	
																					LOC151300						C1QTNF9B-AS1	
																					GPBAR1						SNORA27	
																					SLC16A14						TSC22D1-AS1	
																					LOC151475						BASP1P1	
																					LINC00471						TPTE2P1	
																					LOC151484						PRHOXNB	
																					MSL3P1						ZAR1L	
																					WDR69						TTL	
																					C2orf57						SERPINE3	
																					PIKFYVE						CTAGE11P	
																					TIGD1						SNORA31	
																					LOC200772						MIR621	
																					CCDC108						CCDC169	
																					C2orf72						PRR20B	
																					CXXC11						PRR20C	
																					UNC80						PRR20D	
																					RUFY4						PRR20E	
																					DUSP28						ANKRD26P3	
																					ESPNL						RPL21P28	
																					ECEL1P2						LINC00426	
																					LOC348761						TPT1-AS1	
																					C2orf62						LINC00421	
																					RBM44						PAN3-AS1	
																					AQP12A						MIR1297	
																					KLHL30						MIR548F5	
																					RESP18						MIR759	
																					C2orf82						MIR2276	
																					OR6B2						MIR320D1	
																					ASB18						MIR4305	
																					FLJ43879						MIR3169	
																					VWC2L						MIR3613	
																					MIR149						LINC00327	
																					MIR153-1						OR7E37P	
																					MIR26B						TEX26-AS1	
																					DNAJB3						SPG20OS	
																					MIR375						LOC100507240	
																					LOC643387						LOC100509894	
																					PRR21						CCDC169-SOHLH2	
																					LOC646324						MIR4499	
																					LOC646736						MIR4703	
																					PRSS56						LOC100616668	
																					AQP12B							
																					SNORA75							
																					SCARNA6							
																					SCARNA5							
																					D2HGDH							
																					LOC728323							
																					DIRC3							
																					LOC100129175							
																					PP14571							
																					LOC100130451							
																					LOC100286922							
																					MIR1471							
																					MIR1244-1							
																					MIR548F2							
																					BOK-AS1							
																					MIR1244-3							
																					MIR1244-2							
																					MIR3131							
																					MIR4268							
																					MIR3132							
																					MIR4269							
																					UBE2F-SCLY							
																					MIR4439							
																					MIR4776-1							
																					MIR4777							
																					MIR2467							
																					MIR4440							
																					MIR4786							
																					MIR4776-2							
																					MIR4441							
